back_office,channel,client_id,counter_type,date,inaccurate_time,no_wait_visit,office_id,office_name,program_id,service_count,status,welcome_time,latest_time,service_creation_duration_outlie,waiting_duration_outlier,prep_duration_outlier,serve_duration_outlier,hold_duration_outlier,serve_duration_per_service,serve_duration_per_visit,prep_duration_per_service,prep_duration_per_visit,waiting_duration_per_service,waiting_duration_per_visit,hold_duration_per_service,hold_duration_per_visit,visits_count,services_count,transactions_count,DateEntered,service_creation_duration_per_vi
Back Office,back-office,4330383,Counter,17JUL2020:00:00:00.000,Yes,No,40,Kamloops,Back Office - 020,2,Inaccurate Time,17JUL2020:12:34:54.000,17JUL2020:12:34:58.000,No,No,No,No,No,,,,,,,,,1,1,1,05MAR2021:14:30:25.760,0.0003633449
Back Office,back-office,4861870,Counter,19OCT2020:00:00:00.000,No,Yes,65,Penticton,Back Office - 021,1,Finished,19OCT2020:13:48:47.000,19OCT2020:14:06:17.000,No,No,No,No,No,0.0121211344,0.0121211344,,,,,,,1,1,1,05MAR2021:14:30:40.747,0.0000274421
Back Office,back-office,7027384,Counter,20JUL2021:00:00:00.000,No,Yes,86,Smithers,Back Office - 004,1,Finished,20JUL2021:09:15:02.000,20JUL2021:09:52:00.000,No,No,No,No,No,0.0201023258,0.0201023258,,,,,0.0054471181,0.0054471181,1,1,1,21JUL2021:02:00:13.677,0.000121794
Back Office,back-office,1171957,,05FEB2019:00:00:00.000,No,Yes,93,Vernon,F&W - 009,1,Finished,05FEB2019:12:27:00.000,05FEB2019:15:21:37.000,No,No,No,No,No,0.0527907871,0.0527907871,,,,,0.0683639348,0.0683639348,1,1,1,05MAR2021:14:29:32.887,0.0001096181
Back Office,back-office,5545042,Counter,28JAN2021:00:00:00.000,No,Yes,75,Quesnel,Back Office - 021,1,Finished,28JAN2021:09:51:29.000,28JAN2021:09:55:23.000,No,No,No,No,No,0.0026979283,0.0026979283,,,,,,,1,1,1,05MAR2021:14:31:27.477,0.0000115856
Back Office,back-office,688985,,14DEC2018:00:00:00.000,No,No,16,Courtenay,Back Office - 002,1,Finished,14DEC2018:14:07:24.000,14DEC2018:14:16:19.000,No,No,No,No,No,0.0061633796,0.0061633796,1.1574074E-8,1.1574074E-8,1.1574074E-8,1.1574074E-8,0,0,1,1,1,05MAR2021:14:29:28.667,0.000028206
Front Office,in-person,5019478,Counter,13NOV2020:00:00:00.000,No,Yes,25,Duncan,ICBC - 011,1,Finished,13NOV2020:15:30:50.000,13NOV2020:15:35:19.000,No,No,No,No,No,0.0030165741,0.0030165741,,,,,,,1,1,1,17MAR2021:13:32:39.800,0.0001050579
Back Office,back-office,9624758,Counter,28APR2022:00:00:00.000,No,Yes,93,Vernon,Back Office - 016,1,Finished,28APR2022:13:24:17.000,28APR2022:13:27:09.000,No,No,No,No,No,0.0019106134,0.0019106134,,,,,,,1,1,1,29APR2022:04:30:13.957,0.0000836921
Back Office,back-office,6959253,Counter,12JUL2021:00:00:00.000,No,Yes,114,Send Video4,ID Verification - 010,1,Finished,12JUL2021:16:22:19.000,12JUL2021:16:23:05.000,No,No,No,No,No,0.000499537,0.000499537,,,,,,,1,1,1,13JUL2021:02:00:12.930,0.0000246759
Front Office,in-person,1337337,,25FEB2019:00:00:00.000,No,Yes,85,Salmon Arm,SDPR - POC - 004,1,Finished,25FEB2019:09:58:03.000,25FEB2019:10:01:48.000,No,No,No,No,No,0.0003940394,0.0003940394,,,,,,,1,1,1,05MAR2021:14:29:34.557,0.002215567
Back Office,back-office,7272770,Counter,14AUG2021:00:00:00.000,No,Yes,14,Chilliwack,ID Verification - 010,1,Finished,14AUG2021:15:17:36.000,14AUG2021:15:18:51.000,No,No,No,No,No,0.0008177315,0.0008177315,,,,,,,1,1,1,15AUG2021:02:00:12.820,0.0000485069
Front Office,in-person,3888951,Counter,20APR2020:00:00:00.000,No,Yes,50,Merritt,SDPR - POC - 006,1,Finished,20APR2020:14:14:48.000,20APR2020:14:16:33.000,No,No,No,No,No,0.0012078241,0.0012078241,,,,,,,1,1,1,05MAR2021:14:30:14.760,7.36111E-6
Front Office,email-fax-mail,3058708,,29AUG2019:00:00:00.000,No,Yes,85,Salmon Arm,CTAX - 002,1,Finished,29AUG2019:12:05:31.000,29AUG2019:13:12:36.000,Yes,No,No,No,No,0.0009579629,0.0222173147,0.0000151273,0.0000151273,0.019159155,0.019159155,,,1,1,1,05MAR2021:14:29:53.743,0.005191389
Back Office,back-office,4994138,Counter,10NOV2020:00:00:00.000,No,Yes,81,Trail,Back Office - 021,1,Finished,10NOV2020:08:51:45.000,10NOV2020:08:56:01.000,No,No,No,No,No,0.0029055902,0.0029055902,,,,,,,1,1,1,17MAR2021:13:32:38.973,0.0000554861
Back Office,back-office,2911047,,25JUL2019:00:00:00.000,Yes,No,93,Vernon,Back Office - 001,1,Inaccurate Time,25JUL2019:16:42:57.000,25JUL2019:17:01:54.000,Yes,No,No,No,No,,,,,,,,,1,1,1,05MAR2021:14:29:50.620,0.0101609835
Back Office,back-office,9501364,Counter,08APR2022:00:00:00.000,Yes,No,11,Burns Lake,Back Office - 009,1,Inaccurate Time,08APR2022:09:01:44.000,08APR2022:09:01:50.000,No,No,No,No,No,,,,,,,,,1,1,1,09APR2022:02:00:13.690,0.000053044
Front Office,in-person,1131655,,31JAN2019:00:00:00.000,Yes,No,94,Victoria,SDPR - POC - 009,1,Inaccurate Time,31JAN2019:11:32:38.000,31JAN2019:11:49:28.000,No,No,No,No,No,,,0.0090999417,0.0090999417,0.002219456,0.002219456,,,1,1,1,05MAR2021:14:29:32.667,0.0003489699
Front Office,in-person,9970154,Counter,20JUN2022:00:00:00.000,No,Yes,40,Kamloops,ID Verification - 010,1,Finished,20JUN2022:13:08:00.000,20JUN2022:13:08:30.000,No,No,No,No,No,0.000341875,0.000341875,,,,,,,1,1,1,21JUN2022:04:30:18.520,2.7083329E-6
Front Office,in-person,4630942,Counter,10SEP2020:00:00:00.000,No,No,68,Prince George,ICBC - 012,1,Finished,10SEP2020:13:42:25.000,10SEP2020:14:05:26.000,No,No,No,No,No,0.0004537732,0.0004537732,0.0000458449,0.0000458449,0.0152844442,0.0152844442,,,1,1,2,05MAR2021:14:30:34.167,0.0002017708
Back Office,back-office,6153565,Counter,15APR2021:00:00:00.000,No,Yes,93,Vernon,Back Office - 021,1,Finished,15APR2021:13:51:44.000,15APR2021:14:02:03.000,No,No,No,No,No,0.0071579628,0.0071579628,,,,,,,1,1,1,16APR2021:02:00:16.393,4.768518E-6
Front Office,in-person,6321588,Counter,05MAY2021:00:00:00.000,No,Yes,68,Prince George,MSP - 001,2,Finished,05MAY2021:13:42:59.000,05MAY2021:14:06:32.000,No,No,No,No,No,0.0112653123,0.0175931603,,0.0003451389,,0.0003457176,,0.1970293224,1,1,1,06MAY2021:02:00:14.387,0.0001029051
Back Office,back-office,4609540,Counter,08SEP2020:00:00:00.000,Yes,No,84,Squamish,Back Office - 020,1,Inaccurate Time,08SEP2020:08:36:06.000,08SEP2020:08:47:22.000,No,No,No,No,No,,,,,,,,,1,1,1,05MAR2021:14:30:33.230,0.000057963
Back Office,back-office,7373052,Counter,24AUG2021:00:00:00.000,No,Yes,113,Send Video3,ID Verification - 010,1,Finished,24AUG2021:11:31:50.000,24AUG2021:11:33:27.000,No,No,No,No,No,0.0010940046,0.0010940046,,,,,,,1,1,1,25AUG2021:02:00:12.197,0.0000294792
Back Office,back-office,4105534,Counter,09JUN2020:00:00:00.000,No,Yes,94,Victoria,Back Office - 020,1,Finished,09JUN2020:08:37:45.000,09JUN2020:08:46:43.000,No,No,No,No,No,0.0062211575,0.0062211575,,,,,,,1,1,1,05MAR2021:14:30:19.887,6.1342589E-6
Front Office,,1463995,,08MAR2019:00:00:00.000,No,Yes,88,Terrace,,1,Customer Left (service-creation),08MAR2019:15:45:46.000,08MAR2019:15:48:09.000,No,No,No,No,No,,,,,,,,,1,1,0,05MAR2021:14:29:35.697,0.001657824
Back Office,back-office,7333822,Counter,19AUG2021:00:00:00.000,No,Yes,111,Send Video 1,ID Verification - 010,1,Finished,19AUG2021:16:14:05.000,19AUG2021:16:14:14.000,No,No,No,No,No,0.0000873032,0.0000873032,,,,,,,1,1,1,20AUG2021:02:00:12.470,0.0000226389
Front Office,in-person,7795785,Counter,13SEP2021:00:00:00.000,No,Yes,113,Send Video3,ID Verification - 010,1,Finished,13SEP2021:10:12:28.000,13SEP2021:10:12:47.000,No,No,No,No,No,0.0002211458,0.0002211458,,,,,,,1,1,1,15SEP2021:02:00:16.770,4.5833322E-6
Front Office,in-person,3279270,,23OCT2019:00:00:00.000,No,No,66,Port Alberni,SDPR - POC - 006,1,Finished,23OCT2019:09:12:52.000,23OCT2019:09:28:11.000,No,No,No,No,No,0.0039307987,0.0039307987,0.0004157407,0.0004157407,0.0061858217,0.0061858217,,,1,1,1,05MAR2021:14:29:59.230,0.0001099074
Back Office,back-office,4504972,Counter,19AUG2020:00:00:00.000,No,Yes,40,Kamloops,Back Office - 021,1,Finished,19AUG2020:14:47:20.000,19AUG2020:14:49:33.000,No,No,No,No,No,0.0013471181,0.0013471181,,,,,,,1,1,1,05MAR2021:14:30:30.340,0.0001937384
Back Office,back-office,5712563,Counter,22FEB2021:00:00:00.000,No,Yes,93,Vernon,Back Office - 023,1,Finished,22FEB2021:09:36:39.000,22FEB2021:09:44:33.000,No,No,No,No,No,0.0054550464,0.0054550464,,,,,,,1,1,1,05MAR2021:14:31:40.580,0.0000322917
Back Office,in-person,1641446,,27MAR2019:00:00:00.000,No,Yes,40,Kamloops,Back Office - 004,1,Finished,27MAR2019:16:06:33.000,27MAR2019:16:21:35.000,No,No,No,No,No,0.01039478,0.01039478,,,,,,,1,1,1,05MAR2021:14:29:37.323,0.0000397801
Back Office,back-office,5668430,Counter,16FEB2021:00:00:00.000,No,Yes,111,Send Video 1,ID Verification - 010,1,Finished,16FEB2021:11:19:07.000,16FEB2021:11:22:53.000,No,No,No,No,No,0.0025674538,0.0025674538,,,,,,,1,1,1,05MAR2021:14:31:37.103,0.0000489352
Front Office,in-person,8653187,Counter,02DEC2021:00:00:00.000,No,Yes,86,Smithers,ICBC - 002,1,Finished,02DEC2021:13:15:10.000,02DEC2021:13:22:05.000,No,No,No,No,No,0.0047440045,0.0047440045,,,,,,,1,1,1,03DEC2021:02:00:15.180,0.0000680208
Back Office,back-office,6415072,Counter,16MAY2021:00:00:00.000,No,Yes,113,Send Video3,ID Verification - 010,1,Finished,16MAY2021:15:46:30.000,16MAY2021:15:46:54.000,No,No,No,No,No,0.0002450694,0.0002450694,,,,,,,1,1,1,17MAY2021:02:00:16.487,0.0000307639
Front Office,phone,6280027,Counter,29APR2021:00:00:00.000,No,Yes,12,Campbell River,ICBC - 002,1,Finished,29APR2021:14:38:24.000,29APR2021:14:41:50.000,No,No,No,No,No,0.0023244445,0.0023244445,,,,,,,1,1,1,30APR2021:02:00:12.857,0.000053206
Front Office,in-person,6054545,Counter,01APR2021:00:00:00.000,No,Yes,68,Prince George,MSP - 001,2,Finished,01APR2021:16:21:43.000,01APR2021:16:21:45.000,No,No,No,No,No,0.0000254282,0.0034645139,,0.0002642477,,0.0000667361,,,1,1,1,02APR2021:02:00:14.917,0.0002817014
Back Office,back-office,3071638,,03SEP2019:00:00:00.000,No,Yes,16,Courtenay,Back Office - 016,1,Finished,03SEP2019:11:59:45.000,03SEP2019:12:01:31.000,No,No,No,No,No,0.0011214815,0.0011214815,,,,,,,1,1,1,05MAR2021:14:29:53.980,0.000103912
Back Office,back-office,9043169,Counter,26JAN2022:00:00:00.000,No,Yes,66,Port Alberni,Back Office - 020,1,Being Served,26JAN2022:10:02:09.000,26JAN2022:10:02:13.000,No,No,No,No,No,,,,,,,,,1,1,0,27JAN2022:02:00:13.360,0.0000471759
Back Office,back-office,7576616,Counter,04SEP2021:00:00:00.000,No,Yes,111,Send Video 1,ID Verification - 010,1,Finished,04SEP2021:11:19:54.000,04SEP2021:11:20:28.000,No,No,No,No,No,0.0003692477,0.0003692477,,,,,,,1,1,1,05SEP2021:02:00:13.810,0.0000234259
Front Office,in-person,4860058,Counter,19OCT2020:00:00:00.000,No,Yes,64,Port Hardy,Other - 013,1,Finished,19OCT2020:11:56:04.000,19OCT2020:11:58:56.000,No,No,No,No,No,0.0018756482,0.0018756482,,,,,,,1,1,1,05MAR2021:14:30:40.747,0.0001097222
Front Office,in-person,3432496,,02DEC2019:00:00:00.000,No,Yes,69,Prince Rupert,ICBC - 010,1,Finished,02DEC2019:15:28:56.000,02DEC2019:15:30:32.000,No,No,No,No,No,0.000991655,0.000991655,,,,,,,1,1,1,05MAR2021:14:30:03.167,0.0001253241
Front Office,in-person,6628952,Counter,08JUN2021:00:00:00.000,No,Yes,85,Salmon Arm,PTAX - 005,1,Finished,08JUN2021:11:16:12.000,08JUN2021:11:31:52.000,No,No,No,No,No,0.004761273,0.0105879633,0.0000320949,0.0000320949,0.0000811343,0.0000811343,,,1,1,1,09JUN2021:02:00:17.233,0.0001780787
Front Office,in-person,64505,,14SEP2018:00:00:00.000,No,No,85,Salmon Arm,ID Verification - 007,1,Finished,14SEP2018:15:44:13.000,14SEP2018:15:49:59.000,No,No,No,No,No,0.0038075347,0.0038075347,1.1574074E-8,1.1574074E-8,1.1574074E-8,1.1574074E-8,0,0,1,1,1,05MAR2021:14:29:23.133,
Front Office,in-person,6185451,Counter,20APR2021:00:00:00.000,No,Yes,86,Smithers,F&W - 004,1,Finished,20APR2021:11:37:06.000,20APR2021:11:38:01.000,No,No,No,No,No,0.0005325926,0.0005325926,,,,,,,1,1,1,21APR2021:02:00:15.223,0.000098588
Back Office,back-office,8893652,Counter,06JAN2022:00:00:00.000,No,Yes,56,Nelson,Back Office - 017,1,Finished,06JAN2022:12:33:32.000,06JAN2022:12:36:29.000,No,No,No,No,No,0.0020446181,0.0020446181,,,,,,,1,1,1,07JAN2022:02:00:13.197,2.9513901E-6
Front Office,,6837912,,29JUN2021:00:00:00.000,No,Yes,82,Sechelt,,1,Customer Left (service-creation),29JUN2021:10:48:33.000,29JUN2021:10:50:01.000,No,No,No,No,No,,,,,,,,,1,1,0,30JUN2021:02:00:12.693,0.0010175116
Back Office,back-office,6354483,Counter,08MAY2021:00:00:00.000,No,Yes,111,Send Video 1,ID Verification - 010,1,Finished,08MAY2021:15:19:45.000,08MAY2021:15:20:49.000,No,No,No,No,No,0.0006913426,0.0006913426,,,,,,,1,1,1,09MAY2021:02:00:11.290,0.0000431597
Back Office,back-office,7490539,Counter,30AUG2021:00:00:00.000,No,Yes,75,Quesnel,Back Office - 021,1,Finished,30AUG2021:13:29:38.000,30AUG2021:13:31:55.000,No,No,No,No,No,0.0015564121,0.0015564121,,,,,,,1,1,1,31AUG2021:02:00:13.290,0.0000286806
Front Office,in-person,7493899,Counter,30AUG2021:00:00:00.000,No,No,85,Salmon Arm,F&W - 007,1,Finished,30AUG2021:15:15:46.000,30AUG2021:16:13:58.000,No,No,No,No,No,0.0202293284,0.0202293284,0.0001329514,0.0001329514,0.0198799297,0.0198799297,,,1,1,2,31AUG2021:02:00:13.290,0.0001661574
Front Office,in-person,2035075,,02MAY2019:00:00:00.000,No,Yes,50,Merritt,SDPR - POC - 001,1,Finished,02MAY2019:15:44:21.000,02MAY2019:15:50:11.000,No,No,No,No,No,0.0039128242,0.0039128242,,,,,,,1,1,1,05MAR2021:14:29:40.887,0.0001390046
Front Office,in-person,2770768,,10JUL2019:00:00:00.000,No,Yes,55,Nanaimo,ICBC - 011,1,Finished,10JUL2019:13:38:52.000,10JUL2019:13:41:42.000,No,No,No,No,No,0.0019085995,0.0019085995,,,,,,,1,1,1,05MAR2021:14:29:49.010,0.0000541088
Back Office,back-office,2657020,,28JUN2019:00:00:00.000,Yes,No,47,Mackenzie,Back Office - 006,1,Inaccurate Time,28JUN2019:10:55:55.000,28JUN2019:10:56:07.000,No,No,No,No,No,,,,,,,,,1,1,1,05MAR2021:14:29:47.650,0.0001178241
Front Office,in-person,9473442,Counter,04APR2022:00:00:00.000,No,Yes,112,Send Video2,ID Verification - 010,1,Finished,04APR2022:14:03:04.000,04APR2022:14:03:39.000,No,No,No,No,No,0.0003967361,0.0003967361,,,,,,,1,1,1,05APR2022:02:00:12.390,3.7384282E-6
Front Office,in-person,6788099,Counter,23JUN2021:00:00:00.000,No,No,14,Chilliwack,ICBC - 002,1,Finished,23JUN2021:14:45:36.000,23JUN2021:14:56:52.000,No,No,No,No,No,0.0035638078,0.0035638078,0.0000163426,0.0000163426,0.004127604,0.004127604,,,1,1,1,24JUN2021:02:00:13.280,0.0001122685
Back Office,phone,4155607,Counter,17JUN2020:00:00:00.000,No,Yes,69,Prince Rupert,Back Office - 023,1,Finished,17JUN2020:15:37:11.000,17JUN2020:15:45:28.000,No,No,No,No,No,0.0048988196,0.0048988196,,,,,,,1,1,1,05MAR2021:14:30:21.120,0.0008575231
Back Office,back-office,5839103,Counter,05MAR2021:00:00:00.000,No,Yes,91,Valemount,Back Office - 021,1,Finished,05MAR2021:10:41:02.000,05MAR2021:10:46:16.000,No,No,No,No,No,0.0036046412,0.0036046412,,,,,,,1,1,1,07MAR2021:02:00:13.067,0.0000259954
Back Office,back-office,3228779,,09OCT2019:00:00:00.000,No,Yes,16,Courtenay,Back Office - 004,1,Finished,09OCT2019:13:45:37.000,09OCT2019:13:52:25.000,No,No,No,No,No,0.0046821642,0.0046821642,,,,,,,1,1,1,05MAR2021:14:29:58.027,0.0000407523
Front Office,in-person,7988770,Counter,20SEP2021:00:00:00.000,No,Yes,95,Vancouver,Redirects - 008,1,Finished,20SEP2021:10:06:33.000,20SEP2021:10:26:59.000,No,No,No,No,No,0.01412897,0.01412897,,,,,,,1,1,1,21SEP2021:02:00:12.243,0.0000706019
Front Office,in-person,6153177,Counter,15APR2021:00:00:00.000,No,No,68,Prince George,ICBC - 013,1,Finished,15APR2021:13:35:00.000,15APR2021:13:58:16.000,No,No,No,No,No,0.0030174654,0.0030174654,0.0000111806,0.0000111806,0.0129807293,0.0129807293,,,1,1,1,16APR2021:02:00:16.393,0.0001469444
Back Office,back-office,7634345,Counter,08SEP2021:00:00:00.000,No,Yes,85,Salmon Arm,ID Verification - 010,1,Finished,08SEP2021:09:44:30.000,08SEP2021:09:44:58.000,No,No,No,No,No,0.000257037,0.000257037,,,,,,,1,1,1,09SEP2021:02:00:13.163,0.0000644329
Back Office,back-office,4861575,Counter,19OCT2020:00:00:00.000,No,Yes,18,Creston,Back Office - 021,1,Finished,19OCT2020:13:36:36.000,19OCT2020:13:41:00.000,No,No,No,No,No,0.0030551041,0.0030551041,,,,,,,1,1,1,05MAR2021:14:30:40.747,5.3125013E-6
Front Office,in-person,8662403,Counter,03DEC2021:00:00:00.000,No,No,23,Dawson Creek,Other - 007,1,Finished,03DEC2021:13:22:23.000,03DEC2021:14:01:58.000,No,No,No,No,No,0.0108290045,0.0108290045,0.0000703125,0.0000703125,0.016227616,0.016227616,,,1,1,1,04DEC2021:02:00:12.753,0.0003604977
Back Office,back-office,3604823,Counter,24JAN2020:00:00:00.000,No,Yes,83,Sparwood,SDPR - POC - 003,1,Finished,24JAN2020:07:57:08.000,24JAN2020:12:25:07.000,No,No,No,No,No,0.02205199,0.02205199,,,,,0.1639162302,0.1639162302,1,1,1,05MAR2021:14:30:07.730,0.0001259375
Front Office,in-person,2278767,,27MAY2019:00:00:00.000,No,Yes,17,Cranbrook,Exams - 001,1,Finished,27MAY2019:14:07:31.000,27MAY2019:14:15:48.000,No,No,No,No,No,0.0057192822,0.0057192822,,,,,,,1,1,1,05MAR2021:14:29:43.073,0.0000340972
Front Office,in-person,6801293,Counter,24JUN2021:00:00:00.000,No,No,68,Prince George,ICBC - 005,1,Finished,24JUN2021:14:34:55.000,24JUN2021:15:53:23.000,No,No,No,No,No,0.0172570832,0.0172570832,0.0003889699,0.0003889699,0.0365807191,0.0365807191,,,1,1,1,25JUN2021:02:00:13.403,0.0002684722
Back Office,back-office,3144798,,19SEP2019:00:00:00.000,No,Yes,56,Nelson,Back Office - 004,1,On Hold,19SEP2019:10:49:04.000,19SEP2019:11:02:04.000,No,No,No,No,No,0.0060869791,0.0060869791,,,,,,,1,1,0,05MAR2021:14:29:55.887,0.0000551273
Front Office,in-person,3101089,,10SEP2019:00:00:00.000,No,No,46,Maple Ridge,ICBC - 003,1,Finished,10SEP2019:08:41:17.000,10SEP2019:08:49:35.000,No,No,No,No,No,0.0016735648,0.0016735648,0.0000141782,0.0000141782,0.0037444676,0.0037444676,,,1,1,1,05MAR2021:14:29:54.667,0.0003390393
Front Office,,6509769,,26MAY2021:00:00:00.000,No,Yes,86,Smithers,,1,Customer Left (service-creation),26MAY2021:18:26:54.000,26MAY2021:18:26:56.000,No,No,No,No,No,,,,,,,,,1,1,0,27MAY2021:02:00:13.490,0.0000223727
Front Office,in-person,3284531,,23OCT2019:00:00:00.000,No,No,66,Port Alberni,SDPR - POC - 008,1,Finished,23OCT2019:15:56:08.000,23OCT2019:16:20:43.000,No,No,No,No,No,0.0073268865,0.0073268865,0.0000464468,0.0000464468,0.0094084032,0.0094084032,,,1,1,1,05MAR2021:14:29:59.463,0.0002811111
Back Office,back-office,4727004,Counter,24SEP2020:00:00:00.000,No,Yes,37,Ganges,Back Office - 006,1,Being Served,24SEP2020:16:22:53.000,24SEP2020:16:22:57.000,No,No,No,No,No,,,,,,,,,1,1,0,05MAR2021:14:30:37.200,0.0000552778
Back Office,back-office,4463352,Counter,12AUG2020:00:00:00.000,No,Yes,69,Prince Rupert,Back Office - 021,1,Finished,12AUG2020:13:24:59.000,12AUG2020:13:26:20.000,No,No,No,No,No,0.000932037,0.000932037,,,,,,,1,1,1,05MAR2021:14:30:29.277,5.4050929E-6
Back Office,back-office,4046446,Counter,28MAY2020:00:00:00.000,No,Yes,16,Courtenay,Back Office - 021,1,Finished,28MAY2020:12:09:35.000,28MAY2020:12:17:24.000,No,No,No,No,No,0.005371192,0.005371192,,,,,,,1,1,1,05MAR2021:14:30:18.573,0.0000573495
Front Office,in-person,6223527,Counter,23APR2021:00:00:00.000,No,No,65,Penticton,ICBC - 002,1,Finished,23APR2021:13:05:30.000,23APR2021:13:17:50.000,No,No,No,No,No,0.0066759028,0.0066759028,0.0000286343,0.0000286343,0.0017468403,0.0017468403,,,1,1,1,24APR2021:02:00:12.730,0.0001124421
Back Office,back-office,5500886,Counter,22JAN2021:00:00:00.000,No,Yes,81,Trail,ICBC - 002,1,Finished,22JAN2021:11:58:30.000,22JAN2021:12:05:21.000,No,No,No,No,No,0.0046754978,0.0046754978,,,,,,,1,1,1,05MAR2021:14:31:23.887,0.0000858796
Back Office,back-office,7466840,Counter,28AUG2021:00:00:00.000,No,Yes,55,Nanaimo,ID Verification - 011,1,Finished,28AUG2021:13:26:04.000,28AUG2021:13:26:46.000,No,No,No,No,No,0.0004062153,0.0004062153,,,,,,,1,1,1,29AUG2021:02:00:12.957,0.000080162
Front Office,in-person,7884494,Counter,15SEP2021:00:00:00.000,Yes,No,45,Lillooet,Other - 055,1,Inaccurate Time,15SEP2021:14:23:47.000,15SEP2021:14:23:50.000,No,No,No,No,No,,,,,,,,,1,1,1,16SEP2021:02:00:13.727,2.5462966E-6
Back Office,back-office,4788911,Counter,06OCT2020:00:00:00.000,No,Yes,19,Chetwynd,Back Office - 021,1,Finished,06OCT2020:10:32:09.000,06OCT2020:11:01:51.000,No,No,No,No,No,0.0205671303,0.0205671303,,,,,,,1,1,1,05MAR2021:14:30:38.730,0.000063125
Front Office,,2238090,,22MAY2019:00:00:00.000,No,Yes,66,Port Alberni,,1,Customer Left (service-creation),22MAY2019:15:27:32.000,22MAY2019:15:27:43.000,No,No,No,No,No,,,,,,,,,1,1,0,05MAR2021:14:29:42.840,0.0001216667
Back Office,back-office,6818819,Counter,27JUN2021:00:00:00.000,No,Yes,112,Send Video2,ID Verification - 010,1,Finished,27JUN2021:11:34:00.000,27JUN2021:11:34:59.000,No,No,No,No,No,0.0006172801,0.0006172801,,,,,,,1,1,1,28JUN2021:02:00:12.140,0.0000560417
